"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.720,1.34,-1.83,-3.95,0.720,1.07,-2.29,-6.84,0.720,1.22,-1.93,-3.36,0.720,1.32,-1.56,-5.00,0.720,1.13,-2.06,-4.01,0.720,1.23,-1.70,-4.22,0.720,0.82,-1.97,-0.08,0.720,1.17,-1.43,-2.09,0.720,1.17,-1.22,-2.73,0.720,1.22,-0.89,0.65
0.740,1.30,-1.94,-6.19,0.740,1.03,-2.44,-5.57,0.740,1.18,-2.01,-4.24,0.740,1.29,-1.70,-8.50,0.740,1.09,-2.13,-3.29,0.740,1.20,-1.79,-3.71,0.740,0.78,-1.97,-1.32,0.740,1.14,-1.48,-2.23,0.740,1.14,-1.30,-2.21,0.740,1.20,-0.84,1.95
0.760,1.28,-2.14,-8.52,0.760,0.97,-2.53,-3.11,0.760,1.14,-2.11,-4.94,0.760,1.26,-1.97,-9.29,0.760,1.04,-2.19,-2.38,0.760,1.16,-1.85,-3.44,0.760,0.75,-2.01,-2.85,0.760,1.11,-1.54,-1.92,0.760,1.11,-1.35,-1.24,0.760,1.19,-0.78,1.75
0.780,1.22,-2.37,-5.91,0.780,0.92,-2.56,-1.05,0.780,1.10,-2.22,-4.67,0.780,1.21,-2.17,-5.64,0.780,1.00,-2.22,-1.82,0.780,1.12,-1.91,-3.10,0.780,0.70,-2.11,-2.81,0.780,1.08,-1.57,-0.97,0.780,1.08,-1.32,-0.62,0.780,1.17,-0.74,0.01
0.800,1.17,-2.42,-2.52,0.800,0.87,-2.54,-0.48,0.800,1.05,-2.31,-3.72,0.800,1.16,-2.20,-1.50,0.800,0.95,-2.25,-1.78,0.800,1.08,-1.99,-2.86,0.800,0.66,-2.16,-1.17,0.800,1.04,-1.57,-0.48,0.800,1.06,-1.35,-0.76,0.800,1.16,-0.78,-2.07
0.820,1.13,-2.37,-1.49,0.820,0.82,-2.55,-1.57,0.820,1.01,-2.37,-2.90,0.820,1.12,-2.14,-0.36,0.820,0.91,-2.29,-2.04,0.820,1.05,-2.03,-2.73,0.820,0.61,-2.15,0.40,0.820,1.02,-1.57,-0.77,0.820,1.03,-1.37,-0.19,0.820,1.14,-0.85,-3.10
0.840,1.08,-2.45,-2.74,0.840,0.77,-2.59,-3.22,0.840,0.96,-2.41,-2.59,0.840,1.08,-2.18,-1.77,0.840,0.86,-2.34,-2.21,0.840,1.00,-2.09,-2.27,0.840,0.57,-2.11,0.25,0.840,0.98,-1.60,-1.35,0.840,1.00,-1.39,1.04,0.840,1.12,-0.92,-2.86
0.860,1.03,-2.52,-3.90,0.860,0.72,-2.69,-3.94,0.860,0.91,-2.47,-2.58,0.860,1.03,-2.24,-3.12,0.860,0.82,-2.38,-2.08,0.860,0.96,-2.14,-1.62,0.860,0.53,-2.12,-0.93,0.860,0.95,-1.64,-1.68,0.860,0.97,-1.31,1.52,0.860,1.11,-0.97,-1.81
0.880,0.98,-2.59,-4.08,0.880,0.66,-2.78,-3.45,0.880,0.86,-2.52,-2.49,0.880,0.99,-2.32,-2.88,0.880,0.77,-2.43,-1.92,0.880,0.92,-2.14,-1.10,0.880,0.49,-2.17,-1.75,0.880,0.92,-1.67,-1.36,0.880,0.95,-1.29,0.29,0.880,1.08,-1.00,0.00
0.900,0.92,-2.69,-3.94,0.900,0.61,-2.83,-2.37,0.900,0.81,-2.57,-2.35,0.900,0.94,-2.38,-2.05,0.900,0.72,-2.45,-2.04,0.900,0.87,-2.16,-1.40,0.900,0.44,-2.21,-1.47,0.900,0.88,-1.70,-0.53,0.900,0.93,-1.29,-2.19,0.900,1.07,-0.99,1.54
0.920,0.87,-2.77,-3.38,0.920,0.55,-2.87,-2.00,0.920,0.76,-2.61,-2.39,0.920,0.89,-2.39,-1.88,0.920,0.67,-2.50,-2.31,0.920,0.83,-2.20,-2.26,0.920,0.40,-2.23,-0.78,0.920,0.85,-1.70,0.21,0.920,0.89,-1.38,-3.68,0.920,1.05,-0.91,1.60
0.940,0.81,-2.82,-2.88,0.940,0.49,-2.90,-2.43,0.940,0.70,-2.66,-2.54,0.940,0.84,-2.42,-2.64,0.940,0.62,-2.56,-2.20,0.940,0.79,-2.26,-2.61,0.940,0.36,-2.23,-0.43,0.940,0.82,-1.67,-0.10,0.940,0.88,-1.49,-2.74,0.940,1.03,-0.88,-0.13
0.960,0.76,-2.87,-2.90,0.960,0.43,-2.96,-2.94,0.960,0.65,-2.71,-2.59,0.960,0.80,-2.50,-3.06,0.960,0.57,-2.60,-1.44,0.960,0.74,-2.32,-2.31,0.960,0.31,-2.24,-0.56,0.960,0.78,-1.67,-1.57,0.960,0.84,-1.53,0.78,0.960,1.01,-0.92,-1.97
0.980,0.70,-2.94,-3.00,0.980,0.37,-3.03,-3.04,0.980,0.60,-2.77,-2.42,0.980,0.74,-2.58,-2.32,0.980,0.51,-2.62,-0.89,0.980,0.69,-2.35,-1.44,0.980,0.27,-2.25,1.87,0.980,0.75,-1.74,-3.02,0.980,0.81,-1.46,2.88,0.980,0.99,-0.99,-2.17
