"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.720,1.31,-0.70,-1.07,0.720,1.22,-0.86,-1.37,0.720,1.43,-0.36,-3.56,0.720,1.34,-0.61,-0.34,0.720,1.32,-0.52,0.25,0.720,1.28,-0.75,0.63,0.720,1.27,-0.66,-0.64,0.720,1.21,-0.84,3.02,0.720,1.37,-0.60,-1.46,0.720,1.42,0.13,2.64
0.740,1.30,-0.71,-1.43,0.740,1.20,-0.88,-0.99,0.740,1.42,-0.49,-5.93,0.740,1.33,-0.64,-1.75,0.740,1.31,-0.52,-1.05,0.740,1.27,-0.70,1.65,0.740,1.26,-0.72,-2.29,0.740,1.19,-0.79,1.75,0.740,1.35,-0.67,-1.89,0.740,1.42,0.28,-3.00
0.760,1.28,-0.73,-2.33,0.760,1.18,-0.87,-1.07,0.760,1.41,-0.60,-6.12,0.760,1.32,-0.71,-2.14,0.760,1.30,-0.54,-2.81,0.760,1.25,-0.67,1.23,0.760,1.24,-0.80,-1.97,0.760,1.18,-0.79,0.06,0.760,1.33,-0.75,-0.72,0.760,1.43,-0.08,-6.99
0.780,1.27,-0.82,-2.54,0.780,1.16,-0.91,-1.03,0.780,1.40,-0.74,-4.51,0.780,1.30,-0.76,-1.09,0.780,1.29,-0.64,-3.52,0.780,1.24,-0.64,-0.20,0.780,1.22,-0.82,-1.17,0.780,1.16,-0.79,-1.06,0.780,1.32,-0.70,0.54,0.780,1.44,-0.19,-3.20
0.800,1.25,-0.87,-1.33,0.800,1.14,-0.95,-0.52,0.800,1.38,-0.85,-1.23,0.800,1.29,-0.75,0.04,0.800,1.28,-0.73,-2.72,0.800,1.23,-0.67,-1.53,0.800,1.21,-0.80,-1.02,0.800,1.15,-0.84,-1.25,0.800,1.31,-0.67,0.49,0.800,1.40,-0.24,4.94
0.820,1.23,-0.88,0.43,0.820,1.12,-0.92,-0.11,0.820,1.36,-0.79,1.42,0.820,1.27,-0.73,0.38,0.820,1.26,-0.75,-1.27,0.820,1.22,-0.73,-1.97,0.820,1.19,-0.86,-0.95,0.820,1.13,-0.87,-0.48,0.820,1.30,-0.69,-0.56,0.820,1.44,0.05,7.20
0.840,1.22,-0.83,0.77,0.840,1.11,-0.93,-0.47,0.840,1.34,-0.71,1.76,0.840,1.26,-0.73,0.03,0.840,1.24,-0.76,-0.53,0.840,1.20,-0.77,-1.72,0.840,1.17,-0.88,-0.71,0.840,1.11,-0.86,0.39,0.840,1.28,-0.69,-1.40,0.840,1.40,0.27,4.23
0.860,1.20,-0.80,-0.57,0.860,1.09,-0.95,-0.98,0.860,1.34,-0.71,0.44,0.860,1.24,-0.73,-0.43,0.860,1.23,-0.77,-0.64,0.860,1.18,-0.78,-1.86,0.860,1.16,-0.85,-1.07,0.860,1.09,-0.83,0.21,0.860,1.26,-0.74,-2.04,0.860,1.44,0.17,-2.16
0.880,1.19,-0.85,-2.17,0.880,1.07,-0.98,-0.58,0.880,1.32,-0.71,-0.48,0.880,1.23,-0.75,-0.77,0.880,1.21,-0.78,-1.03,0.880,1.17,-0.82,-2.31,0.880,1.14,-0.89,-2.31,0.880,1.08,-0.83,-0.77,0.880,1.25,-0.79,-2.01,0.880,1.43,0.16,-6.44
0.900,1.17,-0.93,-1.78,0.900,1.05,-0.99,0.05,0.900,1.30,-0.73,-1.23,0.900,1.21,-0.77,-0.96,0.900,1.20,-0.81,-1.25,0.900,1.15,-0.89,-1.95,0.900,1.12,-0.97,-2.15,0.900,1.06,-0.87,-1.37,0.900,1.23,-0.84,-0.61,0.900,1.43,-0.09,-8.53
0.920,1.15,-0.97,0.21,0.920,1.03,-0.96,0.07,0.920,1.29,-0.74,-2.40,0.920,1.20,-0.79,-0.36,0.920,1.18,-0.84,-0.72,0.920,1.13,-0.93,-0.27,0.920,1.10,-1.04,0.04,0.920,1.04,-0.91,-0.89,0.920,1.22,-0.83,0.52,0.920,1.43,-0.25,-8.91
0.940,1.13,-0.90,1.31,0.940,1.01,-0.97,-0.43,0.940,1.28,-0.82,-3.12,0.940,1.18,-0.81,0.77,0.940,1.16,-0.85,0.37,0.940,1.11,-0.91,1.37,0.940,1.08,-0.97,1.73,0.940,1.02,-0.92,-0.17,0.940,1.20,-0.77,0.32,0.940,1.43,-0.46,-6.13
0.960,1.11,-0.85,0.14,0.960,0.99,-0.99,-0.67,0.960,1.26,-0.90,-2.92,0.960,1.16,-0.75,0.81,0.960,1.15,-0.82,1.04,0.960,1.10,-0.84,1.67,0.960,1.06,-0.89,2.17,0.960,1.01,-0.90,0.06,0.960,1.19,-0.80,-0.70,0.960,1.40,-0.55,-2.58
0.980,1.10,-0.88,-1.87,0.980,0.97,-1.01,-0.41,0.980,1.24,-0.95,-1.73,0.980,1.15,-0.71,-1.13,0.980,1.13,-0.79,0.64,0.980,1.08,-0.81,0.61,0.980,1.05,-0.91,1.54,0.980,0.99,-0.90,-0.13,0.980,1.17,-0.83,-1.19,0.980,1.40,-0.52,-0.59
1.000,1.08,-0.97,-2.07,1.000,0.95,-1.00,-0.29,1.000,1.22,-0.97,-0.05,1.000,1.14,-0.78,-3.52,1.000,1.12,-0.79,-0.90,1.000,1.07,-0.82,-0.87,1.000,1.03,-0.83,0.21,1.000,0.97,-0.91,-0.27,1.000,1.15,-0.85,-1.01,1.000,1.39,-0.49,-1.11
1.020,1.06,-1.01,-0.62,1.020,0.93,-1.01,-0.57,1.020,1.20,-0.96,1.83,1.020,1.12,-0.91,-3.39,1.020,1.10,-0.81,-2.54,1.020,1.05,-0.86,-1.54,1.020,1.01,-0.84,-2.35,1.020,0.95,-0.92,-0.21,1.020,1.14,-0.86,-1.34,1.020,1.38,-0.59,-1.88
